Designator,Footprint,Quantity,Value,LCSC Part #
AE2,ANT-F-1-2.4G-1.6mmFR4-WCH,1,Antenna_Shield,
BOOTSEL,KEY-SMD_K2-1177SW-A4DW-06,1,BOOTSEL,C92582
BZ1,Buzzer_TDK_PS1240P02BT_D12.2mm_H6.5mm,1,Buzzer,C76871 
"C1, C2",0402,2,33pF,
"C10, C11, C12, C13, C15, C16, C3, C4, C5",0402,9,100nF,
"C22, C41",0402,2,100nF,C1525
C23,0402,1,0.47uF,C92361
C24,0603,1,4.7uF,C69335
C25,0603,1,2.2uF,C23630
"C26, C27",1206,2,4.7uF,C12881
"C28, C29, C30, C31, C32, C33, C34, C35, C36, C37",0603,10,1uF,C15849
"C38, C40",0603,2,4.7uF,C19666
C39,0603,1,10uF,C19702
"C6, C8",0402,2,1uF,
"D10, D11, D9",D_SOD-123,3,MBR0530,C77336
D3,D_SOD-123F,1,D,C2892326
D6,0603,1,RED,C84269
D8,0603,1,NOT RED,C84256 
FB1,0805,1,BLM18AG601SN1D,C1017
"H1, H2",MountingHole_2.2mm_M2_DIN965_Pad,2,MountingHole,
J1,PinHeader_1x06_P2.54mm_Vertical,1,Conn_02x03,
J2,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_16P,C165948
J3,TE_2-1734839-4_1x24-1MP_P0.5mm_Horizontal,1,E-INK,C5362165
J4,JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,1,LiPo,C173752
J5,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03,
L1,1210,1,10uH,C2047322
L2,L_Changjiang_FNR6028S,1,68uH,C168045
Q1,SOT-23,1,AO3400A,C20917
Q2,SOT-323_SC-70,1,Si1308EDL,C7603347
"R1, R13, R14",0402,3,330R,C208861
"R10, R9",0402,2,5.1k,C25905
R11,0402,1,10k,C25744
R12,0402,1,0.47R,C2089288
R15,0402,1,2.2k,C25879
"R16, R17",0402,2,4k7,
"R2, R6",0402,2,10k,
"R3, R7",0402,2,1k,C11702
"R4, R5",0402,2,27.4R,
RESET,KEY-SMD_K2-1177SW-A4DW-06,1,RESET,C92582
"SW10, SW3, SW4, SW5, SW6, SW7, SW8, SW9",SW_PUSH_6mm,8,SW_Push,C87494
U1,SOIC-8_5.3x5.3mm_P1.27mm,1,W25Q32JVSS,
U2,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,
U4,WQFN-28-1EP_4x4mm_P0.4mm_EP2.7x2.7mm,1,CH592F,C39831287
U5,SOT-23-6,1,USBLC6-2SC6,C2687116
U6,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.3mm_ThermalVias,1,TP4056-42-ESOP8,C16581
U7,SOT-23-5,1,AP2112K-3.3,C23380830
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,12MHz,C9002
Y2,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,32MHz,C9009
