Designator,Mid X,Mid Y,Rotation,Layer
BOOTSEL,151.98,-121.71,90.0,bottom
BZ1,117.925,-63.5,90.0,top
C1,144.853387,-112.7,0.0,bottom
C10,153.475913,-113.23625,270.0,bottom
C11,157.524663,-113.23625,270.0,bottom
C12,148.303387,-107.91875,0.0,bottom
C13,153.47,-102.0,90.0,bottom
C15,160.02,-104.2375,180.0,bottom
C16,162.274663,-107.75625,180.0,bottom
C2,145.353387,-107.3,180.0,bottom
C22,170.982075,-65.87,270.0,top
C23,174.2675,-69.27588,180.0,top
C24,164.857075,-65.15,180.0,top
C25,164.832075,-71.55,0.0,top
C26,141.1,-128.6,0.0,bottom
C27,134.625,-122.05,180.0,bottom
C28,137.775,-108.35,0.0,bottom
C29,137.75,-101.35,0.0,bottom
C3,162.274663,-108.75625,180.0,bottom
C30,137.75,-102.85,0.0,bottom
C31,137.75,-109.85,0.0,bottom
C32,137.75,-111.35,0.0,bottom
C33,137.75,-112.85,0.0,bottom
C34,137.75,-114.35,0.0,bottom
C35,137.75,-115.85,0.0,bottom
C36,137.75,-117.35,0.0,bottom
C37,137.75,-118.85,0.0,bottom
C38,178.65,-122.65,0.0,bottom
C39,187.6,-143.275,90.0,bottom
C4,166.0,-111.02625,90.0,bottom
C40,172.45,-120.105,90.0,bottom
C41,171.2,-119.81,270.0,bottom
C5,148.303387,-106.95,0.0,bottom
C6,160.22,-105.2,180.0,bottom
C8,157.37,-101.99,90.0,bottom
D10,132.7,-119.5,180.0,bottom
D11,134.45,-124.5,180.0,bottom
D3,179.435,-110.84,180.0,bottom
D6,171.185101,-114.66,0.0,bottom
D8,171.2,-116.41,0.0,bottom
D9,131.95,-117.05,0.0,bottom
FB1,180.835,-102.0775,270.0,bottom
J2,187.275,-106.21,270.0,bottom
J3,132.65,-106.6,90.0,bottom
J4,184.6,-143.05,270.0,bottom
L1,164.832075,-68.37588,90.0,top
L2,140.3,-124.1,0.0,bottom
Q1,126.075,-61.9375,270.0,bottom
Q2,137.25,-95.35,180.0,bottom
R1,127.025,-65.0,90.0,bottom
R10,180.825,-109.09,0.0,bottom
R11,137.211944,-98.6,180.0,bottom
R12,137.2,-100.1,180.0,bottom
R13,173.945101,-114.66,180.0,bottom
R14,173.95,-116.41,180.0,bottom
R15,183.45,-114.36,90.0,bottom
R16,148.79,-143.5,180.0,bottom
R17,146.79,-141.5,180.0,bottom
R2,149.02,-100.88,0.0,bottom
R3,148.303387,-108.8875,180.0,bottom
R4,160.033413,-106.20625,0.0,bottom
R5,160.033413,-107.20625,0.0,bottom
R6,158.6,-115.65,180.0,bottom
R7,153.12,-117.85,90.0,bottom
R9,180.775,-104.44,0.0,bottom
RESET,145.12,-98.37,180.0,bottom
SW10,172.25,-142.75,0.0,top
SW3,117.75,-134.5,0.0,top
SW4,125.75,-126.25,0.0,top
SW5,133.75,-134.5,0.0,top
SW6,125.75,-142.75,0.0,top
SW7,164.25,-134.5,0.0,top
SW8,172.25,-126.25,0.0,top
SW9,180.25,-134.5,0.0,top
U1,162.929663,-115.09375,0.0,bottom
U2,154.475913,-107.925,180.0,bottom
U4,169.7875,-69.77588,0.0,top
U5,179.6975,-106.70625,180.0,bottom
U6,179.125,-115.505,270.0,bottom
U7,175.5125,-120.28,180.0,bottom
Y1,145.305913,-109.9875,90.0,bottom
Y2,175.3875,-71.62588,180.0,top
